Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Did not get needed mental health care due to cost,Female,5.8,"5.3,  6.3","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,18-34 years,7,"6.2,  7.8","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,35-49 years,5.2,"4.5,  5.8","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,50-64 years,3,"2.5,  3.5","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,65 years and over,1.1,"0.9,  1.4","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,18-44 years,6.4,"5.8,  7.0","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,45-64 years,3.4,"3.0,  3.9","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,65-74 years,1.6,"1.2,  2.0","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,75 years and over,0.4,"0.2,  0.7","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,"White, single race",4.4,"4.0,  4.8","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
Did not get needed mental health care due to cost,"Black or African American, single race",4.4,"3.5,  5.5","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States",Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.,2020
